EXP_GENE,RT_GENE,CORR
SOCS3,CPQ-rt,0.870240567311
SPRR3,CPQ-rt,0.870240567311
SVEP1,CPQ-rt,0.870240567311
TGFBR3,CPQ-rt,0.870240567311
TNNT3,CPQ-rt,0.870240567311
WFDC1,CPQ-rt,0.870240567311
ZBED2,CPQ-rt,0.870240567311
ADRA1B,PLK2-rt,0.914487736518
ATP8B4,PLK2-rt,0.914487736518
CCDC85A,PLK2-rt,0.914487736518
CEBPD,PLK2-rt,0.914487736518
CHRDL2,PLK2-rt,0.914487736518
CILP,PLK2-rt,0.914487736518
CLCA2,PLK2-rt,0.914487736518
CMKLR1,PLK2-rt,0.914487736518
COL15A1,PLK2-rt,0.914487736518
COL8A2,PLK2-rt,0.914487736518
COMP,PLK2-rt,0.914487736518
CRISPLD2,PLK2-rt,0.914487736518
CXCL14,PLK2-rt,0.914487736518
DUOXA1,PLK2-rt,0.914487736518
EGFLAM,PLK2-rt,0.914487736518
ENDOD1,PLK2-rt,0.914487736518
HGF,PLK2-rt,0.914487736518
LAMA2,PLK2-rt,0.914487736518
LRFN5,PLK2-rt,0.914487736518
LTBR,PLK2-rt,0.914487736518
MC1R,PLK2-rt,0.914487736518
MFAP4,PLK2-rt,0.914487736518
MMP23B,PLK2-rt,0.914487736518
NFKBIZ,PLK2-rt,0.914487736518
NLRP3,PLK2-rt,0.914487736518
OGN,PLK2-rt,0.914487736518
OSR1,PLK2-rt,0.914487736518
PROK1,PLK2-rt,0.914487736518
PTGES,PLK2-rt,0.914487736518
PTPRR,PLK2-rt,0.914487736518
REG4,PLK2-rt,0.914487736518
RSPO2,PLK2-rt,0.914487736518
S100A4,PLK2-rt,0.914487736518
SERPINB13,PLK2-rt,0.914487736518
SLC2A10,PLK2-rt,0.914487736518
SLITRK6,PLK2-rt,0.914487736518
SMCO3,PLK2-rt,0.914487736518
SOCS3,PLK2-rt,0.914487736518
SPRR3,PLK2-rt,0.914487736518
SVEP1,PLK2-rt,0.914487736518
TGFBR3,PLK2-rt,0.914487736518
TNNT3,PLK2-rt,0.914487736518
WFDC1,PLK2-rt,0.914487736518
ZBED2,PLK2-rt,0.914487736518
ADRA1B,HPGD-rt,0.880074111358
ATP8B4,HPGD-rt,0.880074111358
CCDC85A,HPGD-rt,0.880074111358
CEBPD,HPGD-rt,0.880074111358
CHRDL2,HPGD-rt,0.880074111358
CILP,HPGD-rt,0.880074111358
CLCA2,HPGD-rt,0.880074111358
CMKLR1,HPGD-rt,0.880074111358
COL15A1,HPGD-rt,0.880074111358
COL8A2,HPGD-rt,0.880074111358
COMP,HPGD-rt,0.880074111358
CRISPLD2,HPGD-rt,0.880074111358
CXCL14,HPGD-rt,0.880074111358
DUOXA1,HPGD-rt,0.880074111358
EGFLAM,HPGD-rt,0.880074111358
ENDOD1,HPGD-rt,0.880074111358
HGF,HPGD-rt,0.880074111358
LAMA2,HPGD-rt,0.880074111358
LRFN5,HPGD-rt,0.880074111358
LTBR,HPGD-rt,0.880074111358
MC1R,HPGD-rt,0.880074111358
MFAP4,HPGD-rt,0.880074111358
MMP23B,HPGD-rt,0.880074111358
NFKBIZ,HPGD-rt,0.880074111358
NLRP3,HPGD-rt,0.880074111358
OGN,HPGD-rt,0.880074111358
OSR1,HPGD-rt,0.880074111358
PROK1,HPGD-rt,0.880074111358
PTGES,HPGD-rt,0.880074111358
PTPRR,HPGD-rt,0.880074111358
REG4,HPGD-rt,0.880074111358
RSPO2,HPGD-rt,0.880074111358
S100A4,HPGD-rt,0.880074111358
SERPINB13,HPGD-rt,0.880074111358
SLC2A10,HPGD-rt,0.880074111358
SLITRK6,HPGD-rt,0.880074111358
SMCO3,HPGD-rt,0.880074111358
SOCS3,HPGD-rt,0.880074111358
SPRR3,HPGD-rt,0.880074111358
SVEP1,HPGD-rt,0.880074111358
